worker id,subset,true rank,noisy rank
0,"[28, 29, 58]","[29, 28, 58]","[29, 28, 58]"
0,"[0, 18, 59]","[59, 0, 18]","[18, 0, 59]"
0,"[37, 50, 52]","[50, 52, 37]","[52, 50, 37]"
0,"[20, 34, 36]","[34, 36, 20]","[34, 36, 20]"
0,"[3, 10, 18]","[10, 18, 3]","[18, 3, 10]"
0,"[15, 16, 47]","[16, 15, 47]","[16, 15, 47]"
0,"[33, 55, 59]","[55, 33, 59]","[33, 59, 55]"
0,"[36, 50, 59]","[36, 50, 59]","[59, 36, 50]"
0,"[6, 8, 40]","[40, 8, 6]","[40, 8, 6]"
0,"[9, 40, 47]","[9, 40, 47]","[47, 9, 40]"
0,"[33, 34, 52]","[34, 33, 52]","[34, 33, 52]"
0,"[11, 43, 46]","[46, 11, 43]","[11, 43, 46]"
0,"[5, 18, 30]","[5, 18, 30]","[5, 30, 18]"
0,"[2, 26, 33]","[33, 2, 26]","[33, 2, 26]"
0,"[43, 44, 58]","[44, 43, 58]","[43, 58, 44]"
0,"[18, 47, 56]","[56, 47, 18]","[56, 47, 18]"
0,"[11, 34, 39]","[34, 39, 11]","[11, 34, 39]"
0,"[35, 53, 59]","[59, 53, 35]","[53, 59, 35]"
0,"[4, 29, 59]","[4, 29, 59]","[4, 29, 59]"
0,"[10, 18, 40]","[40, 10, 18]","[40, 10, 18]"
0,"[3, 41, 43]","[3, 41, 43]","[3, 41, 43]"
0,"[18, 23, 58]","[23, 18, 58]","[18, 58, 23]"
0,"[27, 35, 54]","[54, 27, 35]","[54, 27, 35]"
0,"[16, 53, 54]","[16, 54, 53]","[16, 54, 53]"
0,"[4, 7, 59]","[4, 7, 59]","[4, 7, 59]"
0,"[37, 39, 59]","[59, 39, 37]","[39, 59, 37]"
0,"[9, 15, 40]","[9, 15, 40]","[15, 9, 40]"
0,"[1, 6, 41]","[1, 6, 41]","[6, 41, 1]"
0,"[29, 40, 47]","[29, 40, 47]","[29, 40, 47]"
0,"[3, 15, 34]","[34, 15, 3]","[3, 34, 15]"
0,"[29, 46, 56]","[29, 56, 46]","[29, 46, 56]"
0,"[10, 15, 29]","[29, 15, 10]","[10, 29, 15]"
0,"[28, 38, 46]","[28, 46, 38]","[28, 46, 38]"
0,"[25, 35, 45]","[45, 25, 35]","[45, 25, 35]"
0,"[3, 52, 58]","[52, 3, 58]","[58, 3, 52]"
1,"[27, 30, 45]","[45, 27, 30]","[30, 45, 27]"
1,"[8, 48, 56]","[48, 56, 8]","[8, 56, 48]"
1,"[16, 24, 50]","[16, 50, 24]","[16, 50, 24]"
1,"[23, 32, 37]","[23, 32, 37]","[23, 32, 37]"
1,"[44, 50, 59]","[50, 44, 59]","[50, 44, 59]"
1,"[19, 26, 47]","[19, 47, 26]","[19, 47, 26]"
1,"[7, 26, 58]","[7, 26, 58]","[58, 7, 26]"
1,"[12, 23, 53]","[23, 53, 12]","[23, 53, 12]"
1,"[1, 3, 44]","[1, 44, 3]","[1, 44, 3]"
1,"[6, 28, 58]","[28, 6, 58]","[58, 28, 6]"
1,"[5, 17, 42]","[17, 5, 42]","[17, 42, 5]"
1,"[9, 16, 42]","[16, 9, 42]","[42, 9, 16]"
1,"[17, 24, 30]","[17, 30, 24]","[30, 24, 17]"
1,"[26, 36, 46]","[36, 46, 26]","[26, 36, 46]"
1,"[25, 44, 54]","[44, 54, 25]","[54, 25, 44]"
1,"[27, 30, 51]","[51, 27, 30]","[27, 30, 51]"
1,"[26, 37, 46]","[46, 26, 37]","[26, 37, 46]"
1,"[15, 34, 47]","[34, 15, 47]","[34, 15, 47]"
1,"[30, 33, 40]","[40, 33, 30]","[40, 33, 30]"
1,"[3, 8, 43]","[8, 3, 43]","[8, 3, 43]"
1,"[4, 40, 45]","[4, 40, 45]","[4, 40, 45]"
1,"[11, 32, 48]","[48, 32, 11]","[48, 32, 11]"
1,"[4, 13, 27]","[4, 13, 27]","[4, 13, 27]"
1,"[49, 52, 58]","[52, 49, 58]","[52, 49, 58]"
1,"[16, 35, 55]","[16, 55, 35]","[35, 16, 55]"
1,"[14, 37, 43]","[14, 43, 37]","[43, 37, 14]"
1,"[16, 28, 57]","[16, 28, 57]","[16, 28, 57]"
1,"[37, 48, 49]","[48, 49, 37]","[49, 37, 48]"
1,"[2, 8, 51]","[51, 2, 8]","[51, 8, 2]"
1,"[25, 47, 51]","[51, 47, 25]","[51, 47, 25]"
1,"[1, 29, 51]","[29, 51, 1]","[51, 29, 1]"
1,"[49, 53, 56]","[56, 53, 49]","[49, 56, 53]"
1,"[4, 16, 38]","[4, 16, 38]","[4, 16, 38]"
1,"[12, 44, 52]","[52, 44, 12]","[52, 44, 12]"
1,"[3, 18, 46]","[46, 18, 3]","[46, 18, 3]"
1,"[8, 9, 22]","[9, 8, 22]","[8, 9, 22]"
1,"[1, 40, 44]","[40, 1, 44]","[1, 44, 40]"
1,"[0, 22, 29]","[29, 0, 22]","[0, 29, 22]"
1,"[24, 32, 36]","[36, 32, 24]","[32, 36, 24]"
1,"[22, 36, 45]","[36, 45, 22]","[22, 36, 45]"
1,"[9, 29, 38]","[29, 9, 38]","[29, 9, 38]"
1,"[18, 37, 50]","[50, 18, 37]","[50, 18, 37]"
1,"[15, 20, 57]","[15, 20, 57]","[15, 20, 57]"
1,"[11, 44, 59]","[44, 59, 11]","[44, 59, 11]"
1,"[8, 15, 18]","[15, 8, 18]","[15, 8, 18]"
1,"[14, 45, 54]","[45, 54, 14]","[45, 14, 54]"
1,"[7, 44, 59]","[7, 44, 59]","[7, 44, 59]"
1,"[24, 28, 39]","[28, 39, 24]","[24, 28, 39]"
1,"[12, 27, 34]","[34, 27, 12]","[27, 12, 34]"
1,"[21, 33, 42]","[33, 42, 21]","[42, 21, 33]"
1,"[8, 21, 33]","[33, 8, 21]","[21, 8, 33]"
1,"[11, 17, 24]","[17, 11, 24]","[24, 17, 11]"
1,"[18, 41, 55]","[55, 18, 41]","[41, 18, 55]"
1,"[46, 52, 56]","[56, 46, 52]","[46, 56, 52]"
1,"[40, 42, 44]","[40, 44, 42]","[42, 44, 40]"
1,"[41, 53, 57]","[57, 53, 41]","[41, 53, 57]"
1,"[4, 5, 32]","[4, 5, 32]","[5, 4, 32]"
1,"[7, 12, 15]","[7, 15, 12]","[7, 15, 12]"
1,"[15, 46, 57]","[15, 46, 57]","[57, 15, 46]"
1,"[31, 44, 46]","[46, 44, 31]","[46, 44, 31]"
1,"[5, 29, 56]","[29, 56, 5]","[56, 5, 29]"
1,"[17, 37, 50]","[17, 50, 37]","[17, 50, 37]"
1,"[41, 43, 56]","[56, 41, 43]","[56, 41, 43]"
1,"[13, 22, 55]","[55, 13, 22]","[55, 13, 22]"
1,"[23, 33, 58]","[33, 23, 58]","[33, 23, 58]"
1,"[36, 41, 47]","[36, 47, 41]","[36, 47, 41]"
1,"[8, 18, 30]","[8, 18, 30]","[18, 8, 30]"
1,"[12, 54, 56]","[56, 54, 12]","[56, 54, 12]"
1,"[38, 44, 48]","[48, 44, 38]","[48, 38, 44]"
1,"[22, 37, 58]","[37, 58, 22]","[58, 37, 22]"
1,"[1, 29, 41]","[29, 1, 41]","[41, 29, 1]"
1,"[28, 35, 58]","[28, 58, 35]","[35, 58, 28]"
1,"[29, 44, 53]","[29, 44, 53]","[44, 53, 29]"
1,"[12, 27, 54]","[54, 27, 12]","[54, 27, 12]"
1,"[17, 26, 45]","[17, 45, 26]","[17, 26, 45]"
1,"[13, 15, 50]","[50, 15, 13]","[50, 15, 13]"
1,"[13, 43, 47]","[13, 47, 43]","[13, 47, 43]"
1,"[21, 45, 56]","[56, 45, 21]","[45, 56, 21]"
1,"[7, 26, 27]","[7, 27, 26]","[7, 26, 27]"
1,"[7, 27, 46]","[7, 46, 27]","[7, 46, 27]"
1,"[8, 33, 59]","[33, 59, 8]","[33, 59, 8]"
1,"[33, 36, 45]","[36, 33, 45]","[36, 33, 45]"
1,"[5, 10, 43]","[5, 10, 43]","[5, 10, 43]"
1,"[16, 20, 46]","[16, 20, 46]","[16, 20, 46]"
1,"[4, 31, 53]","[4, 53, 31]","[4, 53, 31]"
1,"[31, 46, 58]","[46, 31, 58]","[31, 58, 46]"
1,"[33, 36, 48]","[48, 36, 33]","[48, 36, 33]"
1,"[10, 20, 40]","[40, 20, 10]","[40, 20, 10]"
1,"[0, 9, 34]","[34, 9, 0]","[0, 34, 9]"
1,"[8, 30, 39]","[39, 8, 30]","[39, 8, 30]"
1,"[40, 42, 59]","[40, 59, 42]","[42, 59, 40]"
1,"[0, 2, 7]","[7, 2, 0]","[7, 2, 0]"
1,"[11, 37, 43]","[11, 43, 37]","[37, 43, 11]"
1,"[26, 57, 58]","[57, 26, 58]","[57, 58, 26]"
1,"[12, 20, 46]","[20, 46, 12]","[20, 46, 12]"
1,"[22, 49, 56]","[56, 49, 22]","[56, 49, 22]"
1,"[5, 6, 38]","[5, 38, 6]","[6, 5, 38]"
1,"[5, 35, 54]","[5, 54, 35]","[5, 35, 54]"
1,"[15, 38, 45]","[15, 45, 38]","[45, 38, 15]"
1,"[5, 44, 47]","[5, 44, 47]","[44, 5, 47]"
2,"[6, 15, 48]","[48, 15, 6]","[48, 15, 6]"
2,"[5, 26, 47]","[5, 47, 26]","[5, 26, 47]"
2,"[42, 47, 59]","[59, 47, 42]","[59, 47, 42]"
2,"[3, 16, 32]","[16, 32, 3]","[16, 32, 3]"
2,"[15, 17, 33]","[17, 15, 33]","[17, 15, 33]"
2,"[25, 40, 59]","[40, 59, 25]","[25, 59, 40]"
2,"[12, 37, 56]","[56, 12, 37]","[56, 12, 37]"
2,"[22, 23, 39]","[39, 23, 22]","[22, 23, 39]"
2,"[19, 20, 34]","[34, 19, 20]","[34, 19, 20]"
2,"[46, 51, 58]","[51, 46, 58]","[46, 51, 58]"
2,"[13, 52, 54]","[13, 52, 54]","[52, 13, 54]"
2,"[6, 40, 41]","[40, 6, 41]","[6, 41, 40]"
2,"[11, 26, 55]","[55, 11, 26]","[55, 11, 26]"
2,"[29, 39, 50]","[29, 50, 39]","[29, 50, 39]"
2,"[23, 26, 35]","[23, 26, 35]","[23, 35, 26]"
2,"[27, 34, 51]","[34, 51, 27]","[34, 51, 27]"
2,"[26, 28, 52]","[28, 52, 26]","[28, 52, 26]"
2,"[26, 29, 48]","[48, 29, 26]","[48, 29, 26]"
2,"[20, 36, 46]","[36, 20, 46]","[36, 20, 46]"
2,"[6, 12, 15]","[15, 6, 12]","[15, 6, 12]"
2,"[30, 34, 41]","[34, 30, 41]","[34, 41, 30]"
2,"[18, 50, 52]","[50, 52, 18]","[50, 52, 18]"
2,"[40, 47, 57]","[40, 47, 57]","[57, 47, 40]"
2,"[24, 44, 46]","[46, 44, 24]","[46, 24, 44]"
2,"[10, 29, 56]","[29, 56, 10]","[56, 10, 29]"
2,"[6, 9, 35]","[9, 6, 35]","[9, 6, 35]"
2,"[22, 49, 58]","[49, 58, 22]","[22, 58, 49]"
2,"[26, 29, 31]","[29, 31, 26]","[29, 31, 26]"
2,"[26, 29, 36]","[36, 29, 26]","[36, 29, 26]"
2,"[3, 34, 43]","[34, 3, 43]","[43, 3, 34]"
2,"[11, 29, 32]","[29, 32, 11]","[32, 29, 11]"
2,"[6, 13, 41]","[13, 6, 41]","[13, 41, 6]"
2,"[2, 5, 46]","[5, 46, 2]","[5, 46, 2]"
2,"[14, 47, 53]","[47, 14, 53]","[47, 14, 53]"
2,"[1, 17, 28]","[17, 1, 28]","[28, 1, 17]"
2,"[6, 29, 47]","[29, 47, 6]","[6, 47, 29]"
2,"[21, 29, 57]","[29, 57, 21]","[29, 57, 21]"
2,"[2, 14, 18]","[2, 14, 18]","[14, 18, 2]"
2,"[21, 46, 57]","[46, 57, 21]","[57, 21, 46]"
2,"[0, 8, 51]","[51, 8, 0]","[51, 0, 8]"
2,"[25, 44, 46]","[46, 44, 25]","[44, 46, 25]"
2,"[0, 17, 35]","[17, 0, 35]","[17, 0, 35]"
2,"[17, 27, 56]","[17, 56, 27]","[27, 17, 56]"
2,"[12, 33, 57]","[33, 57, 12]","[33, 57, 12]"
2,"[3, 40, 50]","[50, 40, 3]","[40, 3, 50]"
2,"[6, 26, 40]","[40, 6, 26]","[26, 40, 6]"
2,"[14, 51, 53]","[51, 14, 53]","[14, 53, 51]"
2,"[3, 45, 58]","[45, 3, 58]","[58, 45, 3]"
2,"[5, 6, 55]","[55, 5, 6]","[55, 5, 6]"
2,"[2, 23, 36]","[36, 2, 23]","[36, 2, 23]"
2,"[34, 47, 53]","[34, 47, 53]","[34, 47, 53]"
2,"[31, 34, 47]","[34, 47, 31]","[31, 34, 47]"
2,"[22, 48, 57]","[48, 57, 22]","[48, 57, 22]"
2,"[2, 47, 56]","[56, 2, 47]","[56, 2, 47]"
2,"[7, 33, 36]","[36, 7, 33]","[7, 33, 36]"
2,"[11, 28, 32]","[28, 32, 11]","[28, 32, 11]"
2,"[6, 29, 35]","[29, 6, 35]","[35, 29, 6]"
2,"[40, 48, 52]","[48, 40, 52]","[48, 40, 52]"
2,"[11, 15, 24]","[15, 11, 24]","[15, 11, 24]"
2,"[7, 31, 47]","[7, 47, 31]","[7, 47, 31]"
2,"[8, 38, 55]","[55, 8, 38]","[8, 55, 38]"
2,"[21, 35, 37]","[37, 21, 35]","[37, 35, 21]"
2,"[5, 36, 43]","[36, 5, 43]","[36, 5, 43]"
2,"[31, 34, 37]","[34, 31, 37]","[37, 31, 34]"
2,"[17, 42, 52]","[17, 52, 42]","[17, 52, 42]"
2,"[8, 23, 54]","[54, 8, 23]","[54, 8, 23]"
2,"[1, 50, 56]","[56, 50, 1]","[56, 50, 1]"
2,"[22, 42, 58]","[42, 58, 22]","[42, 58, 22]"
2,"[11, 15, 34]","[34, 15, 11]","[34, 15, 11]"
2,"[17, 39, 51]","[17, 51, 39]","[51, 17, 39]"
2,"[0, 9, 10]","[9, 10, 0]","[9, 10, 0]"
2,"[4, 29, 39]","[4, 29, 39]","[4, 29, 39]"
2,"[12, 26, 43]","[12, 26, 43]","[26, 12, 43]"
2,"[6, 11, 15]","[15, 11, 6]","[6, 11, 15]"
2,"[26, 48, 58]","[48, 26, 58]","[48, 58, 26]"
2,"[0, 39, 47]","[47, 39, 0]","[47, 39, 0]"
2,"[31, 53, 57]","[57, 53, 31]","[57, 53, 31]"
2,"[13, 14, 41]","[13, 14, 41]","[41, 14, 13]"
2,"[9, 38, 43]","[9, 38, 43]","[38, 43, 9]"
2,"[17, 31, 40]","[17, 40, 31]","[31, 40, 17]"
2,"[10, 52, 53]","[52, 10, 53]","[10, 52, 53]"
2,"[21, 27, 29]","[29, 27, 21]","[29, 21, 27]"
2,"[13, 27, 28]","[28, 13, 27]","[27, 28, 13]"
2,"[36, 39, 46]","[36, 46, 39]","[36, 46, 39]"
2,"[3, 13, 57]","[13, 57, 3]","[13, 57, 3]"
2,"[38, 43, 53]","[53, 38, 43]","[53, 38, 43]"
2,"[0, 1, 5]","[5, 1, 0]","[5, 1, 0]"
2,"[8, 10, 55]","[55, 8, 10]","[55, 8, 10]"
2,"[17, 25, 32]","[17, 25, 32]","[25, 32, 17]"
2,"[51, 57, 59]","[51, 59, 57]","[59, 51, 57]"
2,"[14, 19, 49]","[19, 14, 49]","[14, 49, 19]"
2,"[13, 24, 25]","[13, 25, 24]","[24, 25, 13]"
2,"[9, 10, 19]","[19, 9, 10]","[19, 9, 10]"
2,"[5, 9, 59]","[9, 5, 59]","[9, 5, 59]"
2,"[13, 36, 56]","[36, 56, 13]","[56, 36, 13]"
2,"[14, 31, 59]","[59, 14, 31]","[59, 14, 31]"
2,"[38, 50, 52]","[50, 52, 38]","[38, 50, 52]"
2,"[20, 38, 47]","[20, 47, 38]","[20, 47, 38]"
2,"[17, 39, 55]","[17, 55, 39]","[55, 17, 39]"
2,"[9, 15, 57]","[9, 15, 57]","[9, 15, 57]"
3,"[5, 10, 47]","[5, 47, 10]","[10, 47, 5]"
3,"[34, 46, 51]","[34, 51, 46]","[34, 46, 51]"
3,"[19, 25, 37]","[19, 25, 37]","[19, 25, 37]"
3,"[9, 40, 44]","[9, 40, 44]","[9, 40, 44]"
3,"[23, 26, 53]","[23, 53, 26]","[26, 23, 53]"
3,"[24, 35, 39]","[39, 24, 35]","[39, 35, 24]"
3,"[43, 47, 56]","[56, 47, 43]","[56, 47, 43]"
3,"[37, 38, 41]","[38, 41, 37]","[38, 41, 37]"
3,"[0, 4, 54]","[4, 54, 0]","[4, 54, 0]"
3,"[8, 17, 18]","[17, 8, 18]","[8, 18, 17]"
3,"[14, 34, 38]","[34, 14, 38]","[14, 34, 38]"
3,"[1, 27, 44]","[1, 44, 27]","[27, 1, 44]"
3,"[15, 22, 30]","[15, 30, 22]","[15, 30, 22]"
3,"[30, 38, 55]","[55, 38, 30]","[55, 30, 38]"
3,"[14, 35, 37]","[14, 37, 35]","[14, 37, 35]"
3,"[17, 43, 59]","[17, 59, 43]","[17, 59, 43]"
3,"[22, 48, 50]","[48, 50, 22]","[48, 50, 22]"
3,"[13, 39, 49]","[13, 39, 49]","[39, 13, 49]"
3,"[19, 44, 55]","[19, 55, 44]","[19, 55, 44]"
3,"[5, 35, 50]","[50, 5, 35]","[35, 5, 50]"
3,"[23, 28, 52]","[28, 52, 23]","[52, 28, 23]"
3,"[17, 40, 47]","[17, 40, 47]","[17, 47, 40]"
3,"[8, 16, 31]","[16, 8, 31]","[16, 8, 31]"
3,"[7, 23, 36]","[36, 7, 23]","[36, 23, 7]"
3,"[2, 10, 46]","[46, 2, 10]","[46, 2, 10]"
3,"[19, 34, 43]","[34, 19, 43]","[43, 19, 34]"
3,"[12, 15, 27]","[15, 27, 12]","[15, 27, 12]"
3,"[9, 52, 57]","[9, 52, 57]","[9, 52, 57]"
3,"[30, 35, 56]","[56, 30, 35]","[35, 30, 56]"
3,"[20, 45, 47]","[45, 20, 47]","[47, 20, 45]"
3,"[3, 21, 31]","[31, 3, 21]","[31, 21, 3]"
3,"[11, 12, 42]","[11, 12, 42]","[11, 42, 12]"
3,"[3, 7, 28]","[7, 28, 3]","[3, 28, 7]"
3,"[18, 28, 50]","[50, 28, 18]","[28, 18, 50]"
3,"[1, 41, 54]","[1, 54, 41]","[54, 1, 41]"
3,"[31, 42, 55]","[55, 31, 42]","[55, 42, 31]"
3,"[17, 37, 40]","[17, 40, 37]","[17, 37, 40]"
3,"[5, 34, 40]","[34, 5, 40]","[5, 40, 34]"
3,"[3, 18, 30]","[18, 30, 3]","[30, 18, 3]"
3,"[2, 11, 29]","[29, 2, 11]","[29, 2, 11]"
3,"[28, 53, 58]","[28, 53, 58]","[28, 58, 53]"
3,"[23, 29, 44]","[29, 44, 23]","[29, 44, 23]"
3,"[8, 31, 35]","[8, 31, 35]","[35, 8, 31]"
3,"[23, 40, 42]","[40, 23, 42]","[42, 40, 23]"
3,"[4, 17, 53]","[4, 17, 53]","[4, 53, 17]"
3,"[20, 42, 59]","[20, 59, 42]","[20, 59, 42]"
3,"[3, 5, 17]","[17, 5, 3]","[17, 5, 3]"
3,"[33, 50, 53]","[50, 33, 53]","[33, 50, 53]"
3,"[0, 2, 55]","[55, 2, 0]","[55, 0, 2]"
3,"[7, 43, 48]","[48, 7, 43]","[48, 43, 7]"
3,"[14, 33, 40]","[40, 33, 14]","[33, 40, 14]"
3,"[15, 19, 24]","[19, 15, 24]","[19, 15, 24]"
3,"[18, 26, 32]","[32, 18, 26]","[32, 18, 26]"
3,"[6, 33, 41]","[33, 6, 41]","[41, 6, 33]"
3,"[18, 23, 54]","[54, 23, 18]","[23, 54, 18]"
3,"[5, 6, 10]","[5, 10, 6]","[5, 10, 6]"
3,"[23, 32, 52]","[52, 23, 32]","[52, 23, 32]"
3,"[11, 19, 59]","[19, 59, 11]","[19, 59, 11]"
3,"[14, 25, 50]","[50, 25, 14]","[50, 25, 14]"
3,"[16, 20, 21]","[16, 20, 21]","[20, 16, 21]"
3,"[31, 36, 39]","[36, 39, 31]","[36, 39, 31]"
3,"[7, 24, 46]","[7, 46, 24]","[7, 46, 24]"
3,"[3, 52, 55]","[55, 52, 3]","[55, 3, 52]"
3,"[8, 32, 37]","[8, 32, 37]","[8, 32, 37]"
3,"[3, 13, 51]","[51, 13, 3]","[51, 13, 3]"
3,"[10, 46, 51]","[51, 46, 10]","[51, 46, 10]"
3,"[17, 22, 31]","[17, 31, 22]","[22, 31, 17]"
3,"[3, 6, 24]","[6, 3, 24]","[24, 3, 6]"
3,"[7, 13, 37]","[7, 13, 37]","[13, 7, 37]"
3,"[8, 15, 23]","[15, 8, 23]","[15, 8, 23]"
3,"[18, 32, 51]","[51, 32, 18]","[51, 32, 18]"
3,"[24, 29, 44]","[29, 44, 24]","[29, 44, 24]"
3,"[16, 30, 32]","[16, 32, 30]","[16, 30, 32]"
3,"[5, 25, 52]","[5, 52, 25]","[25, 52, 5]"
3,"[8, 28, 56]","[56, 28, 8]","[56, 28, 8]"
3,"[13, 19, 46]","[19, 13, 46]","[13, 46, 19]"
3,"[10, 27, 33]","[33, 10, 27]","[33, 10, 27]"
3,"[41, 47, 50]","[50, 47, 41]","[50, 47, 41]"
3,"[10, 30, 33]","[33, 10, 30]","[33, 10, 30]"
3,"[18, 30, 40]","[40, 18, 30]","[40, 18, 30]"
3,"[20, 35, 46]","[20, 46, 35]","[20, 46, 35]"
3,"[1, 14, 32]","[1, 32, 14]","[1, 32, 14]"
3,"[7, 23, 37]","[7, 23, 37]","[7, 23, 37]"
3,"[8, 21, 22]","[8, 22, 21]","[8, 21, 22]"
3,"[4, 17, 39]","[4, 17, 39]","[4, 39, 17]"
3,"[6, 50, 57]","[50, 57, 6]","[50, 57, 6]"
3,"[2, 6, 41]","[2, 6, 41]","[2, 6, 41]"
3,"[16, 23, 51]","[16, 51, 23]","[23, 16, 51]"
3,"[18, 38, 44]","[44, 38, 18]","[44, 38, 18]"
3,"[24, 28, 39]","[28, 39, 24]","[28, 39, 24]"
3,"[0, 31, 40]","[40, 0, 31]","[40, 0, 31]"
3,"[25, 26, 34]","[34, 25, 26]","[34, 25, 26]"
3,"[6, 16, 34]","[16, 34, 6]","[16, 6, 34]"
3,"[12, 32, 58]","[32, 12, 58]","[12, 32, 58]"
3,"[0, 36, 37]","[36, 0, 37]","[36, 0, 37]"
3,"[3, 8, 51]","[51, 8, 3]","[51, 8, 3]"
3,"[12, 52, 56]","[56, 52, 12]","[56, 52, 12]"
3,"[24, 32, 42]","[32, 24, 42]","[24, 32, 42]"
3,"[8, 15, 26]","[15, 8, 26]","[15, 8, 26]"
3,"[21, 38, 57]","[57, 38, 21]","[57, 38, 21]"
4,"[42, 52, 55]","[55, 52, 42]","[42, 52, 55]"
4,"[4, 56, 57]","[4, 56, 57]","[4, 56, 57]"
4,"[16, 22, 37]","[16, 37, 22]","[16, 37, 22]"
4,"[10, 39, 52]","[52, 39, 10]","[52, 39, 10]"
4,"[3, 19, 53]","[19, 53, 3]","[3, 53, 19]"
4,"[8, 24, 47]","[47, 8, 24]","[47, 8, 24]"
4,"[21, 43, 53]","[53, 43, 21]","[43, 21, 53]"
4,"[10, 34, 53]","[34, 10, 53]","[10, 34, 53]"
4,"[17, 24, 41]","[17, 24, 41]","[17, 24, 41]"
4,"[5, 8, 38]","[5, 8, 38]","[5, 8, 38]"
